Order_ID,Order_Date,Order_Time,City,Restaurant_Name,Cuisine,Customer_Rating,Delivery_Time_Minutes,Order_Value,Payment_Method,Discount_Applied,Order_Status
1001,2026-03-16,22:31:00,Mumbai,Pizza Point,Japanese,4.6,35,604.15,UPI,28.78,Delivered
1002,2026-02-28,15:22:00,Pune,Tandoori Nights,Fast Food,3.1,54,236.73,Card,61.6,Delivered
1003,2026-03-30,15:09:00,Chennai,Sushi World,South Indian,3.6,35,1039.67,UPI,72.88,Delivered
1004,2026-03-28,17:31:00,Pune,Dosa Palace,South Indian,4.8,67,518.4,UPI,197.49,Delivered
1005,2026-02-27,11:36:00,Pune,Sushi World,Japanese,3.6,26,1146.4,COD,29.49,Delivered
1006,2026-02-11,15:54:00,Bangalore,Sushi World,Italian,3.0,64,1079.56,Card,60.62,Delivered
1007,2026-02-24,18:36:00,Chennai,Dosa Palace,Italian,2.9,32,433.92,COD,165.59,Delivered
1008,2026-03-22,13:38:00,Chennai,Sushi World,Japanese,3.7,69,1165.47,UPI,156.87,Delivered
1009,2026-03-27,17:39:00,Chennai,Dosa Palace,Italian,4.4,48,1053.56,COD,130.96,Delivered
1010,2026-03-04,10:06:00,Pune,Dosa Palace,Indian,5.0,58,1185.02,Card,65.71,Cancelled
1011,2026-03-16,10:56:00,Mumbai,Tandoori Nights,South Indian,4.5,39,877.95,UPI,23.56,Delivered
1012,2026-01-05,21:58:00,Chennai,Tandoori Nights,Indian,4.7,69,1130.73,UPI,196.71,Delivered
1013,2026-01-29,18:46:00,Pune,Dosa Palace,Indian,4.4,48,890.09,UPI,50.29,Cancelled
1014,2026-03-21,17:01:00,Bangalore,Pizza Point,Indian,4.7,37,1055.09,UPI,168.93,Delivered
1015,2026-03-13,21:13:00,Mumbai,Burger Town,Japanese,2.7,41,810.43,Card,179.0,Delivered
1016,2026-02-11,17:05:00,Bangalore,Pizza Point,Indian,4.8,55,1129.17,COD,88.18,Delivered
1017,2026-03-13,20:29:00,Mumbai,Dosa Palace,Fast Food,3.5,60,718.09,Card,170.17,Delivered
1018,2026-01-01,22:37:00,Pune,Burger Town,Italian,4.8,67,936.57,UPI,55.81,Delivered
1019,2026-01-17,18:36:00,Hyderabad,Tandoori Nights,Japanese,2.7,55,1116.96,Card,177.98,Delivered
1020,2026-03-05,16:55:00,Mumbai,Burger Town,Fast Food,4.3,27,622.39,UPI,127.19,Cancelled
1021,2026-01-05,21:38:00,Bangalore,Dosa Palace,Fast Food,4.3,22,226.4,UPI,38.87,Delivered
1022,2026-01-24,22:17:00,Pune,Tandoori Nights,South Indian,5.0,48,313.05,COD,157.31,Delivered
1023,2026-03-06,17:19:00,Mumbai,Burger Town,South Indian,4.4,28,1171.91,UPI,182.74,Cancelled
1024,2026-03-22,17:26:00,Hyderabad,Burger Town,Fast Food,3.5,27,1073.2,Card,114.09,Delivered
1025,2026-02-25,10:43:00,Hyderabad,Pizza Point,South Indian,3.9,49,683.42,Card,152.07,Delivered
1026,2026-02-19,11:28:00,Chennai,Burger Town,Italian,3.4,31,1160.9,COD,158.96,Delivered
1027,2026-03-27,11:43:00,Chennai,Dosa Palace,Italian,3.0,65,385.61,COD,157.48,Delivered
1028,2026-01-28,22:02:00,Bangalore,Biryani Hub,South Indian,3.1,47,310.97,UPI,90.88,Cancelled
1029,2026-01-13,18:53:00,Mumbai,Biryani Hub,Indian,3.1,61,801.44,UPI,147.99,Delivered
1030,2026-02-02,20:16:00,Mumbai,Biryani Hub,Fast Food,3.9,68,582.12,UPI,109.71,Delivered
1031,2026-03-31,11:52:00,Chennai,Dosa Palace,Italian,4.8,62,539.77,UPI,82.93,Delivered
1032,2026-01-06,10:03:00,Mumbai,Biryani Hub,South Indian,4.8,29,934.15,Card,33.16,Delivered
1033,2026-03-22,20:17:00,Mumbai,Pizza Point,South Indian,2.6,32,350.01,UPI,181.81,Delivered
1034,2026-03-14,15:02:00,Hyderabad,Dosa Palace,Italian,2.7,21,978.45,COD,82.98,Delivered
1035,2026-01-08,12:28:00,Chennai,Tandoori Nights,Italian,3.1,20,559.45,Card,47.91,Delivered
